iso3c,production,reported_by_fao,year,country_application,nutrient,nearest,method,gapfilled
UZB,66272017.93972518,Yes,2016,75600.72,K2O,UZB,none,0
GTM,56733102.49160689,Yes,2016,54605.57,K2O,GTM,none,0
ZAF,56112834.05497494,Yes,2016,120250,K2O,ZAF,none,0
PER,51883022.74158923,Yes,2016,70952.7,K2O,PER,none,0
MMR,47367605.74191096,Yes,2016,24659.84,K2O,MMR,none,0
BLR,47182114.28745654,Yes,2016,377946.675,K2O,BLR,none,0
DNK,44849307.75908263,Yes,2016,49319.556,K2O,DNK,none,0
MAR,44230673.90954738,Yes,2016,62187.86,K2O,MAR,none,0
PRY,40807672.72664807,Yes,2016,186420.07,K2O,PRY,none,0
BEL,37881620.430979386,Yes,2016,51336.714,K2O,BEL,none,0
SWE,37143224.497521594,Yes,2016,30096.066,K2O,SWE,none,0
ECU,36358870.95008872,Yes,2016,99682.07,K2O,ECU,none,0
CHL,35358705.215926774,Yes,2016,83300,K2O,CHL,none,0
HUN,33193416.77833699,Yes,2016,84664.008,K2O,HUN,none,0
KOR,33154489.12534804,Yes,2016,143398.1,K2O,KOR,none,0
DZA,32143603.141003493,Yes,2016,26700,K2O,DZA,none,0
GRC,31918293.246788524,Yes,2016,37636.17,K2O,GRC,none,0
KAZ,29929723.955679696,Yes,2016,2269.08,K2O,KAZ,none,0
CZE,29788124.38627481,Yes,2016,32227.338,K2O,CZE,none,0
PRT,28506095.278970405,Yes,2016,27448.14072,K2O,PRT,none,0
NPL,26876323.37709631,Yes,2016,5303.5,K2O,NPL,none,0
CUB,26294904.08919849,Yes,2016,31101.12,K2O,CUB,none,0
GHA,24756986.966226343,Yes,2016,31200,K2O,GHA,none,0
SRB,22487966.389169283,Yes,2016,47465.0671071565,K2O,SRB,none,0
NGA,22359247.217234705,Yes,2016,38226.34,K2O,NGA,none,0
ETH,22181941.102866244,Yes,2016,323.98,K2O,ETH,none,0
LVA,20371689.546484135,Yes,2016,26141.544,K2O,LVA,none,0
SDN,19222229.623063345,Yes,2016,2998.44,K2O,SDN,none,0
TZA,19013640.007680494,Yes,2016,7952.89,K2O,TZA,none,0
AUT,18718651.40663913,Yes,2016,27109.37658,K2O,AUT,none,0
NIC,17610256.38688291,Yes,2016,13930.54,K2O,NIC,none,0
PRK,17014139.914172295,No,2016,13930.54,K2O,13930.54,none,0
VEN,15907817.17073627,Yes,2016,135800,K2O,VEN,none,0
TWN,15451483.585332446,Yes,2016,121340.61,K2O,TWN,none,0
AZE,14907447.192262892,Yes,2016,1300,K2O,AZE,none,0
CHE,14525092.945975028,Yes,2016,17635.35,K2O,CHE,none,0
FIN,14055662.784255108,Yes,2016,28201.602,K2O,FIN,none,0
NZL,13942387.220853884,Yes,2016,20745.621199999994,K2O,NZL,none,0
KGZ,13692151.529250788,Yes,2016,240.6,K2O,KGZ,none,0
CMR,13637400.23891997,Yes,2016,14948.54,K2O,CMR,none,0
KHM,13595715.82186319,Yes,2016,4326.83,K2O,KHM,none,0
CIV,12955457.408819854,Yes,2016,53943.08,K2O,CIV,none,0
HND,12780212.949240863,Yes,2016,36674.82,K2O,HND,none,0
SAU,12683449.049103377,Yes,2016,19600,K2O,SAU,none,0
MLI,12463161.338653237,Yes,2016,37154.02,K2O,MLI,none,0
LTU,12354101.599334715,Yes,2016,61272.354,K2O,LTU,none,0
TUN,12035264.377723213,Yes,2016,14300,K2O,TUN,none,0
MDG,11867310.836907458,Yes,2016,4317.86,K2O,MDG,none,0
LAO,11740312.049463883,No,2016,4317.86,K2O,4317.86,none,0
AGO,11316164.06115643,Yes,2016,8151.21,K2O,AGO,none,0
SVK,11271125.355770351,Yes,2016,16189.602,K2O,SVK,none,0
LKA,11254375.594190333,Yes,2016,18829.73,K2O,LKA,none,0
AFG,11103174.046912694,Yes,2016,71.73,K2O,AFG,none,0
KEN,10772148.531103551,Yes,2016,26637.93,K2O,KEN,none,0
NOR,10740117.096851815,Yes,2016,41223,K2O,NOR,none,0
TKM,10726360.416745638,No,2016,41223,K2O,41223,none,0
SYR,10559246.660225878,Yes,2016,1522.34,K2O,SYR,none,0
ISR,10317064.779519146,Yes,2016,30200,K2O,ISR,none,0
DOM,10152260.896133812,Yes,2016,43728.59,K2O,DOM,none,0
TJK,9741323.549771942,Yes,2016,294.5,K2O,TJK,none,0
YEM,9554599.044593014,Yes,2016,862.31,K2O,YEM,none,0
SWZ,9477485.681020593,No,2016,862.31,K2O,862.31,none,0
IRL,9129797.634830145,Yes,2016,120998.64348,K2O,IRL,none,0
MWI,8903642.548293917,Yes,2016,10543.47,K2O,MWI,none,0
SLV,8782144.894177927,Yes,2016,9640.25,K2O,SLV,none,0
BOL,8670978.747869343,Yes,2016,3326.78,K2O,BOL,none,0
MDA,8538527.205399537,Yes,2016,9777.38,K2O,MDA,none,0
BGR,7926581.878972925,Yes,2016,29182.296000000002,K2O,BGR,none,0
URY,7816526.595472928,Yes,2016,43632.42,K2O,URY,none,0
EST,7745325.367166781,Yes,2016,9359.922,K2O,EST,none,0
IRQ,7661246.997111124,Yes,2016,1762.71,K2O,IRQ,none,0
HRV,7451541.9081978705,Yes,2016,15853.266,K2O,HRV,none,0
ZMB,7340673.0285031125,Yes,2016,16719.59,K2O,ZMB,none,0
ZWE,7083056.152574739,Yes,2016,33200,K2O,ZWE,none,0
CRI,6996794.074496098,Yes,2016,40042.17,K2O,CRI,none,0
COD,6643288.819602948,Yes,2016,4788.09,K2O,COD,none,0
BEN,6277503.905782782,Yes,2016,6823.53,K2O,BEN,none,0
UGA,6191792.702472046,Yes,2016,2245.12,K2O,UGA,none,0
ALB,6057152.999387405,Yes,2016,803.5,K2O,ALB,none,0
MOZ,5544543.034773104,Yes,2016,4184.79,K2O,MOZ,none,0
NER,5324185.605239309,Yes,2016,159.68,K2O,NER,none,0
PNG,5249871.930766702,Yes,2016,10698.61,K2O,PNG,none,0
ARM,5225264.465244473,Yes,2016,914.7,K2O,ARM,none,0
GUY,4954922.981898397,Yes,2016,1084.81,K2O,GUY,none,0
SEN,4899747.942125075,Yes,2016,18444.25,K2O,SEN,none,0
HTI,4721179.39972458,No,2016,18444.25,K2O,18444.25,none,0
BIH,4210665.446934637,Yes,2016,12578.77,K2O,BIH,none,0
BFA,3923855.232149631,Yes,2016,32609.24,K2O,BFA,none,0
JOR,3895682.771797947,Yes,2016,3622,K2O,JOR,none,0
LBN,3502117.49785091,Yes,2016,7906.57,K2O,LBN,none,0
MUS,3487113.817627549,Yes,2016,7136.29,K2O,MUS,none,0
ARE,3460651.270073656,Yes,2016,12230.96,K2O,ARE,none,0
LBY,3425715.4297097246,Yes,2016,514.17,K2O,LBY,none,0
PAN,3267217.61708053,Yes,2016,8422.38,K2O,PAN,none,0
BDI,2748742.92866233,Yes,2016,4273.31,K2O,BDI,none,0
SVN,2525702.7958724904,Yes,2016,9743.448,K2O,SVN,none,0
RWA,2396067.7596552595,Yes,2016,2027.15,K2O,RWA,none,0
OMN,2233642.493901007,Yes,2016,13210.99,K2O,OMN,none,0
GIN,2037378.3660401627,Yes,2016,40,K2O,GIN,none,0
JAM,1927771.3420681953,Yes,2016,1239.39,K2O,JAM,none,0
GEO,1714112.967168633,Yes,2016,2406.06,K2O,GEO,none,0
MKD,1678187.252377656,Yes,2016,4532.2,K2O,MKD,none,0
TCD,1631199.0443771405,No,2016,4532.2,K2O,4532.2,none,0
XKO,1505488.8990551075,No,2016,1359,K2O,1359,none,0
LUX,1461422.4844591722,Yes,2016,1166.022,K2O,LUX,none,0
MNE,1338660.950568848,Yes,2016,622.3,K2O,MNE,none,0
TGO,1158866.0873362347,Yes,2016,14729.92,K2O,TGO,none,0
SOM,1038368.1028475016,No,2016,3301.61,K2O,3301.61,none,0
CYP,1030471.4808870537,Yes,2016,2832.7813800000004,K2O,CYP,none,0
SLE,1028081.6690776274,No,2016,3301.61,K2O,3301.61,none,0
FJI,1011223.8870821148,Yes,2016,1232.02,K2O,FJI,none,0
SUR,878341.9295825958,Yes,2016,902.5,K2O,SUR,none,0
COG,817013.5914447829,Yes,2016,589.94,K2O,COG,none,0
MNG,708403.239158292,Yes,2016,1278.58,K2O,MNG,none,0
GNB,582822.1520262472,No,2016,3233.94,K2O,3233.94,none,0
GAB,472134.8084433824,Yes,2016,3233.94,K2O,GAB,none,0
MRT,465262.4154650011,No,2016,3233.94,K2O,3233.94,none,0
LBR,403184.49088207074,No,2016,2100,K2O,2100,none,0
QAT,368794.1200319603,Yes,2016,2100,K2O,QAT,none,0
TLS,345131.65923787653,No,2016,4251.99,K2O,4251.99,none,0
KWT,329516.8733068891,Yes,2016,4251.99,K2O,KWT,none,0
CAF,311807.46240679733,Yes,2016,113.74,K2O,CAF,none,0
BTN,211961.66956338336,Yes,2016,221.54,K2O,BTN,none,0
GMB,164120.41320878267,Yes,2016,51.79,K2O,GMB,none,0
ERI,157223.43264709655,Yes,2016,0.69,K2O,ERI,none,0
XMI,147685.73278356518,Yes,2016,0,K2O,XMI,none,0
SSD,121669.49473145345,No,2016,0,K2O,0,none,0
CXR,112599.20039215684,No,2016,6816.58,K2O,6816.58,none,0
ALA,90919.16266685673,No,2016,5848.62564,K2O,6816.58,none,0
LSO,88594.53884182841,No,2016,6816.58,K2O,6816.58,none,0
BLZ,83628.44249719381,Yes,2016,6816.58,K2O,BLZ,none,0
BHR,81095.11913231015,Yes,2016,145.5,K2O,BHR,none,0
MLT,69660.46047009453,Yes,2016,127.73046000000001,K2O,MLT,none,0
"NAM",66674.56633578241,Yes,2016,331.69,K2O,"NAM",none,0
BRN,38542.701472287066,Yes,2016,234,K2O,BRN,none,0
TTO,36921.29870283604,Yes,2016,2100,K2O,TTO,none,0
GNQ,35972.30806827545,No,2016,2100,K2O,2100,none,0
PRI,28662.257500866424,No,2016,723.4,K2O,723.4,none,0
GUF,26967.58330526948,No,2016,723.4,K2O,723.4,none,0
BWA,24817.926067456105,Yes,2016,723.4,K2O,BWA,none,0
GLP,23751.10955373943,No,2016,723.4,K2O,723.4,none,0
DJI,22681.95148062706,No,2016,723.4,K2O,723.4,none,0
GRD,21957.41449737549,No,2016,723.4,K2O,723.4,none,0
SGP,20506.614683747295,No,2016,484.76,K2O,484.76,none,0
SLB,17624.222730457783,No,2016,484.76,K2O,484.76,none,0
MTQ,17572.376029849052,No,2016,484.76,K2O,484.76,none,0
VUT,16904.80774780363,No,2016,484.76,K2O,484.76,none,0
BHS,16526.3634185791,Yes,2016,484.76,K2O,BHS,none,0
ISL,8912.380160093307,Yes,2016,4292,K2O,ISL,none,0
NCL,7881.618533998728,Yes,2016,528,K2O,NCL,none,0
JEY,6522.582320484483,No,2016,178.59,K2O,178.59,none,0
BRB,5771.393712043762,Yes,2016,178.59,K2O,BRB,none,0
GGY,5565.868829096662,Yes,2016,0,K2O,GGY,none,0
DMA,5268.732059001923,Yes,2016,186.85,K2O,DMA,none,0
LCA,3284.654992580414,Yes,2016,110.52,K2O,LCA,none,0
STP,2771.982379555702,No,2016,55.72,K2O,55.72,none,0
TON,2357.369364261627,Yes,2016,55.72,K2O,TON,none,0
GUM,2163.8583984375,No,2016,55.72,K2O,55.72,none,0
BMU,1939.9529418945312,Yes,2016,15.2,K2O,BMU,none,0
PYF,1880.0881591588259,Yes,2016,134,K2O,PYF,none,0
VCT,1753.1834526062012,No,2016,134,K2O,134,none,0
ATG,1300.8822555541992,Yes,2016,5.03,K2O,ATG,none,0
MSR,597.2594909667969,No,2016,7.24,K2O,7.24,none,0
FSM,377.7010202407837,No,2016,7.24,K2O,7.24,none,0
NIU,365.32257080078125,No,2016,7.24,K2O,7.24,none,0
KIR,362.8517019748688,No,2016,7.24,K2O,7.24,none,0
PSE,259.6483723522413,No,2016,7.24,K2O,7.24,none,0
KNA,254.51612854003903,Yes,2016,7.24,K2O,KNA,none,0
VGB,169.47203826904297,No,2016,7.24,K2O,7.24,none,0
AND,124.50000250339507,No,2016,18.89,K2O,18.89,none,0
ESH,124.03519773483276,No,2016,18.89,K2O,18.89,none,0
WLF,74.63145104050636,No,2016,18.89,K2O,18.89,none,0
SYC,51.590001583099365,Yes,2016,18.89,K2O,SYC,none,0
CYM,18.799999237060547,No,2016,8.88,K2O,8.88,none,0
HKG,7.1721498655297875,No,2016,8.6136,K2O,8.88,none,0
ABW,0,No,2016,8.88,K2O,8.88,none,0
AIA,0,No,2016,8.88,K2O,8.88,none,0
ASM,0,No,2016,8.88,K2O,8.88,none,0
BES,0,No,2016,8.88,K2O,8.88,none,0
BLM,0,No,2016,8.88,K2O,8.88,none,0
CCK,0,No,2016,8.88,K2O,8.88,none,0
COK,0,Yes,2016,8.88,K2O,COK,none,0
COM,0,No,2016,8.88,K2O,8.88,none,0
CPV,0,No,2016,8.88,K2O,8.88,none,0
CUW,0,No,2016,8.88,K2O,8.88,none,0
FLK,0,No,2016,8.88,K2O,8.88,none,0
FRO,0,No,2016,7.619040000000001,K2O,8.88,none,0
GIB,0,No,2016,7.619040000000001,K2O,8.88,none,0
GRL,0,No,2016,8.88,K2O,8.88,none,0
IMN,0,No,2016,8.88,K2O,8.88,none,0
IOT,0,No,2016,8.88,K2O,8.88,none,0
LIE,0,No,2016,8.88,K2O,8.88,none,0
MAC,0,No,2016,8.6136,K2O,8.88,none,0
MAF,0,No,2016,8.88,K2O,8.88,none,0
MCO,0,No,2016,8.88,K2O,8.88,none,0
MDV,0,Yes,2016,15.45,K2O,MDV,none,0
MHL,0,No,2016,8.88,K2O,8.88,none,0
MNP,0,No,2016,8.88,K2O,8.88,none,0
MYT,0,No,2016,8.88,K2O,8.88,none,0
NFK,0,No,2016,8.88,K2O,8.88,none,0
NRU,0,Yes,2016,0,K2O,NRU,none,0
PCN,0,No,2016,8.88,K2O,8.88,none,0
PLW,0,No,2016,8.88,K2O,8.88,none,0
REU,0,No,2016,8.88,K2O,8.88,none,0
SHN,0,No,2016,8.88,K2O,8.88,none,0
SJM,0,No,2016,7.619040000000001,K2O,8.88,none,0
SMR,0,No,2016,8.88,K2O,8.88,none,0
SPM,0,No,2016,8.88,K2O,8.88,none,0
SXM,0,No,2016,8.88,K2O,8.88,none,0
TCA,0,No,2016,8.88,K2O,8.88,none,0
TKL,0,No,2016,8.88,K2O,8.88,none,0
TUV,0,No,2016,8.88,K2O,8.88,none,0
VIR,0,No,2016,8.88,K2O,8.88,none,0
WSM,0,Yes,2016,29.7,K2O,WSM,none,0
CHN,2267414909.013471,Yes,2017,10975867.1415,K2O,CHN,none,0
USA,1685696968.1634908,Yes,2017,4244434.36916,K2O,USA,none,0
IND,1298334009.3600392,Yes,2017,2778800,K2O,IND,none,0
RUS,393538249.3994526,Yes,2017,359903.412,K2O,RUS,none,0
DEU,370973013.91670436,Yes,2017,336027.12,K2O,DEU,none,0
IDN,342701278.9558128,Yes,2017,2087754.54,K2O,IDN,none,0
FRA,331406239.8252842,Yes,2017,397144.176,K2O,FRA,none,0
PAK,305394562.04671705,Yes,2017,54173,K2O,PAK,none,0
AUS,294279917.9619316,Yes,2017,184087.05206000002,K2O,AUS,none,0
EGY,276096501.37281895,Yes,2017,94000,K2O,EGY,none,0
BRA,265053819.25387812,Yes,2017,6231075.9486,K2O,BRA,none,0
THA,250650979.07415372,Yes,2017,647574.15,K2O,THA,none,0
MEX,244714768.83693212,Yes,2017,260221.01,K2O,MEX,none,0
CAN,213816256.9340958,Yes,2017,427000,K2O,CAN,none,0
ARG,200824807.52287441,Yes,2017,42132,K2O,ARG,none,0
VNM,175531253.24923196,Yes,2017,764285.52,K2O,VNM,none,0
UKR,169486497.68667194,Yes,2017,293353.2,K2O,UKR,none,0
IRN,129910329.12320079,Yes,2017,34112.3755,K2O,IRN,none,0
ITA,127819881.1273082,Yes,2017,98335.38,K2O,ITA,none,0
ESP,124586547.10772365,Yes,2017,334301.68200000003,K2O,ESP,none,0
PHL,122448932.7718554,Yes,2017,218623.8,K2O,PHL,none,0
BGD,117668736.34127656,Yes,2017,473400,K2O,BGD,none,0
MYS,113914676.43505079,Yes,2017,992153.93,K2O,MYS,none,0
GBR,109019734.02652495,Yes,2017,236808,K2O,GBR,none,0
POL,107416258.81941463,Yes,2017,479707.8,K2O,POL,none,0
JPN,100319549.95629139,Yes,2017,257584,K2O,JPN,none,0
COL,79846359.37517765,Yes,2017,431107.27,K2O,COL,none,0
TUR,76049183.09535167,Yes,2017,124945,K2O,TUR,none,0
NLD,70788056.33485001,Yes,2017,55000.374,K2O,NLD,none,0
ROU,67355533.9592786,Yes,2017,47412.222,K2O,ROU,none,0
UZB,66272017.93972518,Yes,2017,75600.72,K2O,UZB,none,0
GTM,56733102.49160689,Yes,2017,83189.16,K2O,GTM,none,0
ZAF,56112834.05497494,Yes,2017,130735.8,K2O,ZAF,none,0
PER,51883022.74158923,Yes,2017,109112.5,K2O,PER,none,0
MMR,47367605.74191096,Yes,2017,78522.63,K2O,MMR,none,0
BLR,47182114.28745654,Yes,2017,306552.4,K2O,BLR,none,0
DNK,44849307.75908263,Yes,2017,87615.99990000001,K2O,DNK,none,0
MAR,44230673.90954738,Yes,2017,99039.2,K2O,MAR,none,0
PRY,40807672.72664807,Yes,2017,195528.78,K2O,PRY,none,0
BEL,37881620.430979386,Yes,2017,51880.69458,K2O,BEL,none,0
SWE,37143224.497521594,Yes,2017,31566.678,K2O,SWE,none,0
ECU,36358870.95008872,Yes,2017,123455.57,K2O,ECU,none,0
CHL,35358705.215926774,Yes,2017,81770,K2O,CHL,none,0
HUN,33193416.77833699,Yes,2017,99563.178,K2O,HUN,none,0
KOR,33154489.12534804,Yes,2017,143526.15,K2O,KOR,none,0
DZA,32143603.141003493,Yes,2017,26700,K2O,DZA,none,0
GRC,31918293.246788524,Yes,2017,39196.014,K2O,GRC,none,0
KAZ,29929723.955679696,Yes,2017,3655.34,K2O,KAZ,none,0
CZE,29788124.38627481,Yes,2017,29126.526,K2O,CZE,none,0
PRT,28506095.278970405,Yes,2017,28564.338659999998,K2O,PRT,none,0
NPL,26876323.37709631,Yes,2017,6577,K2O,NPL,none,0
CUB,26294904.08919849,Yes,2017,32737.79,K2O,CUB,none,0
GHA,24756986.966226343,Yes,2017,47400,K2O,GHA,none,0
SRB,22487966.389169283,Yes,2017,48239.7983210935,K2O,SRB,none,0
NGA,22359247.217234705,Yes,2017,136200,K2O,NGA,none,0
ETH,22181941.102866244,Yes,2017,1057.43,K2O,ETH,none,0
LVA,20371689.546484135,Yes,2017,25888.434,K2O,LVA,none,0
SDN,19222229.623063345,Yes,2017,3894.48,K2O,SDN,none,0
TZA,19013640.007680494,Yes,2017,11037.68,K2O,TZA,none,0
AUT,18718651.40663913,Yes,2017,32683.991340000004,K2O,AUT,none,0
NIC,17610256.38688291,Yes,2017,28705.33,K2O,NIC,none,0
PRK,17014139.914172295,No,2017,28705.33,K2O,28705.33,none,0
VEN,15907817.17073627,Yes,2017,76700,K2O,VEN,none,0
TWN,15451483.585332446,Yes,2017,112242.3,K2O,TWN,none,0
AZE,14907447.192262892,Yes,2017,3795,K2O,AZE,none,0
CHE,14525092.945975028,Yes,2017,17414.15,K2O,CHE,none,0
FIN,14055662.784255108,Yes,2017,28929.186,K2O,FIN,none,0
NZL,13942387.220853884,Yes,2017,23219.86959999999,K2O,NZL,none,0
KGZ,13692151.529250788,Yes,2017,172.95,K2O,KGZ,none,0
CMR,13637400.23891997,Yes,2017,24375.49,K2O,CMR,none,0
KHM,13595715.82186319,Yes,2017,2779.92,K2O,KHM,none,0
CIV,12955457.408819854,Yes,2017,60552.58,K2O,CIV,none,0
HND,12780212.949240863,Yes,2017,43065.04,K2O,HND,none,0
SAU,12683449.049103377,Yes,2017,27500,K2O,SAU,none,0
MLI,12463161.338653237,Yes,2017,20633.95,K2O,MLI,none,0
LTU,12354101.599334715,Yes,2017,65156.520000000004,K2O,LTU,none,0
TUN,12035264.377723213,Yes,2017,15200,K2O,TUN,none,0
MDG,11867310.836907458,Yes,2017,3637.91,K2O,MDG,none,0
LAO,11740312.049463883,No,2017,3637.91,K2O,3637.91,none,0
AGO,11316164.06115643,Yes,2017,13642.31,K2O,AGO,none,0
SVK,11271125.355770351,Yes,2017,15166.600019999998,K2O,SVK,none,0
LKA,11254375.594190333,Yes,2017,25793.37,K2O,LKA,none,0
AFG,11103174.046912694,Yes,2017,31.48,K2O,AFG,none,0
KEN,10772148.531103551,Yes,2017,45155.23,K2O,KEN,none,0
NOR,10740117.096851815,Yes,2017,40314,K2O,NOR,none,0
TKM,10726360.416745638,No,2017,40314,K2O,40314,none,0
SYR,10559246.660225878,Yes,2017,5395.23,K2O,SYR,none,0
ISR,10317064.779519146,Yes,2017,34751.61,K2O,ISR,none,0
DOM,10152260.896133812,Yes,2017,41729.65,K2O,DOM,none,0
TJK,9741323.549771942,Yes,2017,962.75,K2O,TJK,none,0
YEM,9554599.044593014,Yes,2017,677.48,K2O,YEM,none,0
SWZ,9477485.681020593,No,2017,677.48,K2O,677.48,none,0
IRL,9129797.634830145,Yes,2017,136821.41616,K2O,IRL,none,0
MWI,8903642.548293917,Yes,2017,17517.9,K2O,MWI,none,0
SLV,8782144.894177927,Yes,2017,15089.81,K2O,SLV,none,0
BOL,8670978.747869343,Yes,2017,3420.85,K2O,BOL,none,0
MDA,8538527.205399537,Yes,2017,9641,K2O,MDA,none,0
BGR,7926581.878972925,Yes,2017,31667.922,K2O,BGR,none,0
URY,7816526.595472928,Yes,2017,45361.34,K2O,URY,none,0
EST,7745325.367166781,Yes,2017,11214.06,K2O,EST,none,0
IRQ,7661246.997111124,Yes,2017,5231.4,K2O,IRQ,none,0
HRV,7451541.9081978705,Yes,2017,35995.674,K2O,HRV,none,0
ZMB,7340673.0285031125,Yes,2017,25768.55,K2O,ZMB,none,0
ZWE,7083056.152574739,Yes,2017,40000,K2O,ZWE,none,0
CRI,6996794.074496098,Yes,2017,48866.2,K2O,CRI,none,0
COD,6643288.819602948,Yes,2017,3595.94,K2O,COD,none,0
BEN,6277503.905782782,Yes,2017,0,K2O,BEN,none,0
UGA,6191792.702472046,Yes,2017,2658.43,K2O,UGA,none,0
ALB,6057152.999387405,Yes,2017,634.25,K2O,ALB,none,0
MOZ,5544543.034773104,Yes,2017,2236.2,K2O,MOZ,none,0
NER,5324185.605239309,Yes,2017,159.68,K2O,NER,none,0
PNG,5249871.930766702,Yes,2017,8463.43,K2O,PNG,none,0
ARM,5225264.465244473,Yes,2017,210,K2O,ARM,none,0
GUY,4954922.981898397,Yes,2017,256.67,K2O,GUY,none,0
SEN,4899747.942125075,Yes,2017,24608.05,K2O,SEN,none,0
HTI,4721179.39972458,No,2017,24608.05,K2O,24608.05,none,0
BIH,4210665.446934637,Yes,2017,12755.78,K2O,BIH,none,0
BFA,3923855.232149631,Yes,2017,25530.23,K2O,BFA,none,0
JOR,3895682.771797947,Yes,2017,4230,K2O,JOR,none,0
LBN,3502117.49785091,Yes,2017,9442.8,K2O,LBN,none,0
MUS,3487113.817627549,Yes,2017,6494.7,K2O,MUS,none,0
ARE,3460651.270073656,Yes,2017,12230.96,K2O,ARE,none,0
LBY,3425715.4297097246,Yes,2017,231.78,K2O,LBY,none,0
PAN,3267217.61708053,Yes,2017,9279.28,K2O,PAN,none,0
BDI,2748742.92866233,Yes,2017,4613.24,K2O,BDI,none,0
SVN,2525702.7958724904,Yes,2017,9491.99394,K2O,SVN,none,0
RWA,2396067.7596552595,Yes,2017,1377.94,K2O,RWA,none,0
OMN,2233642.493901007,Yes,2017,10812.42,K2O,OMN,none,0
GIN,2037378.3660401627,Yes,2017,6366.59,K2O,GIN,none,0
JAM,1927771.3420681953,Yes,2017,2562.09,K2O,JAM,none,0
GEO,1714112.967168633,Yes,2017,2536.71,K2O,GEO,none,0
MKD,1678187.252377656,Yes,2017,3433.53,K2O,MKD,none,0
TCD,1631199.0443771405,No,2017,3433.53,K2O,3433.53,none,0
XKO,1505488.8990551075,No,2017,904.99,K2O,904.99,none,0
LUX,1461422.4844591722,Yes,2017,776.4814200000001,K2O,LUX,none,0
MNE,1338660.950568848,Yes,2017,556.56,K2O,MNE,none,0
TGO,1158866.0873362347,Yes,2017,10663.9,K2O,TGO,none,0
SOM,1038368.1028475016,No,2017,3420.69,K2O,3420.69,none,0
CYP,1030471.4808870537,Yes,2017,2934.95202,K2O,CYP,none,0
SLE,1028081.6690776274,No,2017,3420.69,K2O,3420.69,none,0
FJI,1011223.8870821148,Yes,2017,677.41,K2O,FJI,none,0
SUR,878341.9295825958,Yes,2017,1264.53,K2O,SUR,none,0
COG,817013.5914447829,Yes,2017,551.2,K2O,COG,none,0
MNG,708403.239158292,Yes,2017,430.24,K2O,MNG,none,0
GNB,582822.1520262472,No,2017,6247.64,K2O,6247.64,none,0
GAB,472134.8084433824,Yes,2017,6247.64,K2O,GAB,none,0
MRT,465262.4154650011,No,2017,6247.64,K2O,6247.64,none,0
LBR,403184.49088207074,No,2017,1600,K2O,1600,none,0
QAT,368794.1200319603,Yes,2017,1600,K2O,QAT,none,0
TLS,345131.65923787653,No,2017,5073.87,K2O,5073.87,none,0
KWT,329516.8733068891,Yes,2017,5073.87,K2O,KWT,none,0
CAF,311807.46240679733,Yes,2017,182.3,K2O,CAF,none,0
BTN,211961.66956338336,Yes,2017,215.65,K2O,BTN,none,0
GMB,164120.41320878267,Yes,2017,95.18,K2O,GMB,none,0
ERI,157223.43264709655,Yes,2017,0.03,K2O,ERI,none,0
XMI,147685.73278356518,Yes,2017,0,K2O,XMI,none,0
SSD,121669.49473145345,No,2017,0,K2O,0,none,0
CXR,112599.20039215684,No,2017,6241.29,K2O,6241.29,none,0
ALA,90919.16266685673,No,2017,5355.02682,K2O,6241.29,none,0
LSO,88594.53884182841,No,2017,6241.29,K2O,6241.29,none,0
BLZ,83628.44249719381,Yes,2017,6241.29,K2O,BLZ,none,0
BHR,81095.11913231015,Yes,2017,145.5,K2O,BHR,none,0
MLT,69660.46047009453,Yes,2017,116.64509999999999,K2O,MLT,none,0
"NAM",66674.56633578241,Yes,2017,467.3,K2O,"NAM",none,0
BRN,38542.701472287066,Yes,2017,234,K2O,BRN,none,0
TTO,36921.29870283604,Yes,2017,2000,K2O,TTO,none,0
GNQ,35972.30806827545,No,2017,2000,K2O,2000,none,0
PRI,28662.257500866424,No,2017,1369.1,K2O,1369.1,none,0
GUF,26967.58330526948,No,2017,1369.1,K2O,1369.1,none,0
BWA,24817.926067456105,Yes,2017,1369.1,K2O,BWA,none,0
GLP,23751.10955373943,No,2017,1369.1,K2O,1369.1,none,0
DJI,22681.95148062706,No,2017,1369.1,K2O,1369.1,none,0
GRD,21957.41449737549,No,2017,1369.1,K2O,1369.1,none,0
SGP,20506.614683747295,No,2017,541.9,K2O,541.9,none,0
SLB,17624.222730457783,No,2017,541.9,K2O,541.9,none,0
MTQ,17572.376029849052,No,2017,541.9,K2O,541.9,none,0
VUT,16904.80774780363,No,2017,541.9,K2O,541.9,none,0
BHS,16526.3634185791,Yes,2017,541.9,K2O,BHS,none,0
ISL,8912.380160093307,Yes,2017,2797,K2O,ISL,none,0
NCL,7881.618533998728,Yes,2017,528,K2O,NCL,none,0
JEY,6522.582320484483,No,2017,328.21,K2O,328.21,none,0
BRB,5771.393712043762,Yes,2017,328.21,K2O,BRB,none,0
GGY,5565.868829096662,Yes,2017,0,K2O,GGY,none,0
DMA,5268.732059001923,Yes,2017,39.85,K2O,DMA,none,0
LCA,3284.654992580414,Yes,2017,132.25,K2O,LCA,none,0
STP,2771.982379555702,No,2017,78.09,K2O,78.09,none,0
TON,2357.369364261627,Yes,2017,78.09,K2O,TON,none,0
GUM,2163.8583984375,No,2017,78.09,K2O,78.09,none,0
BMU,1939.9529418945312,Yes,2017,15.21,K2O,BMU,none,0
PYF,1880.0881591588259,Yes,2017,208.45,K2O,PYF,none,0
